id,name,birth_date,photo,country_id
1,Aaron Ashmore,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
2,Aaron Aziz,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
3,Abby Ryder Fortson,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
4,Adria Arjona,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1
5,Aghniny Haque,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
6,Agla Artalidia,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
7,Ahn Bo-hyun,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
8,Ahn Jae-wook,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
9,Aidan Gillen,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
10,Aileen Wu,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
11,Aishwarya Rai Bachchan,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,9
12,Akira Kamiya,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
13,Alan Cumming,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,5
14,Alan Tudyk,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
15,Albert Brooks,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
16,Alex D. Linz,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
17,Alexa Davalos,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
18,Alexa PenaVega,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
19,Alexander Gould,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7
20,Alfie Allen,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
21,Alfre Woodard,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
22,Alfred Molina,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
23,Alia Bhatt,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
24,Alisha Boe,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
25,Allison Janney,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
26,Amanda Abbington,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
27,Amanda Plummer,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
28,Amber Midthunder,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
29,America Ferrera,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
30,Amiee Conn,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7
31,Amir Nafis,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
32,Amitabh Bachchan,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
33,Aml Ameen,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,9
34,Amy Hargreaves,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
35,Amy Smart,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
36,Ana de Armas,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
37,Ana Ularu,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
38,Ana Wagener,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1
39,Andre Braugher,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
40,Andrea Dian,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
41,Andrew Scott,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,5
42,Angela Goethals,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,5
43,Angelina Jolie,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,1
44,Angga Yunanda,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
45,Angourie Rice,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
46,Ann Akinjirin,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7
47,Anna Kendrick,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,4
48,Annabelle Wallis,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,2
49,Anne Hathaway,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
50,Annette Bening,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,3
51,Annie Potts,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,6
52,Annie Potts.,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,8
53,Ansel Elgort,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,10
